,bus0,bus1,p_nom,p_nom_diameter,max_pressure_bar,build_year,diameter_mm,length,name,p_min_pu
gas pipeline AT123 <-> AT122 (2),AT123,AT122,345,0,0,1979,0,0,AGGM_pipeline84,-1
gas pipeline AT213 -> AT211,AT213,AT211,6015,0,0,1974,0,0,AGGM_pipeline85,0
gas pipeline AT211 -> AT213,AT211,AT213,16672,0,0,1974,0,0,AGGM_pipeline86,0
gas pipeline AT213 -> AT211 (2),AT213,AT211,6015,0,0,1986,0,0,AGGM_pipeline87,0
gas pipeline AT211 -> AT213 (2),AT211,AT213,16672,0,0,1986,0,0,AGGM_pipeline88,0
gas pipeline AT213 -> AT211 (3),AT213,AT211,6015,0,0,2001,0,0,AGGM_pipeline89,0
gas pipeline AT211 -> AT213 (3),AT211,AT213,16672,0,0,2001,0,0,AGGM_pipeline90,0
gas pipeline IT0 -> AT211,IT0,AT211,6015,0,0,1974,0,0,AGGM_pipeline91,0
gas pipeline AT211 -> IT0,AT211,IT0,16672,0,0,1974,0,0,AGGM_pipeline92,0
gas pipeline IT0 -> AT211 (2),IT0,AT211,6015,0,0,1986,0,0,AGGM_pipeline93,0
gas pipeline AT211 -> IT0 (2),AT211,IT0,16672,0,0,1986,0,0,AGGM_pipeline94,0
gas pipeline IT0 -> AT211 (3),IT0,AT211,6015,0,0,2001,0,0,AGGM_pipeline95,0
gas pipeline AT211 -> IT0 (3),AT211,IT0,16672,0,0,2001,0,0,AGGM_pipeline96,0
gas pipeline AT211 <-> AT212,AT211,AT212,172,0,0,1975,0,0,AGGM_pipeline97,-1
gas pipeline AT211 <-> AT212 (2),AT211,AT212,115,0,0,1975,0,0,AGGM_pipeline98,-1
gas pipeline AT211 <-> AT212 (3),AT211,AT212,115,0,0,1975,0,0,AGGM_pipeline99,-1
gas pipeline AT126 <-> AT130,AT126,AT130,3450,0,0,0,0,0,AGGM_pipeline100,-1
gas pipeline AT126 <-> AT130 (2),AT126,AT130,3450,0,0,0,0,0,AGGM_pipeline101,-1
gas pipeline AT126 <-> AT130 (3),AT126,AT130,2990,0,0,1997,0,0,AGGM_pipeline102,-1
gas pipeline SK <-> AT126,SK,AT126,23000,0,0,1974,0,0,AGGM_pipeline103,-1
gas pipeline SK <-> AT126 (2),SK,AT126,27600,0,0,1986,0,0,AGGM_pipeline104,-1
gas pipeline SK <-> AT126 (3),SK,AT126,6900,0,0,1979,0,0,AGGM_pipeline105,-1
gas pipeline SK <-> AT126 (4),SK,AT126,32200,0,0,1968,0,0,AGGM_pipeline106,-1
gas pipeline SK <-> AT126 (5),SK,AT126,2300,0,0,1968,0,0,AGGM_pipeline107,-1
gas pipeline SK <-> AT126 (6),SK,AT126,4025,0,0,1979,0,0,AGGM_pipeline108,-1
gas pipeline AT126 <-> AT125,AT126,AT125,575,0,0,2000,0,0,AGGM_pipeline109,-1
gas pipeline AT126 <-> AT125 (2),AT126,AT125,115,0,0,1976,0,0,AGGM_pipeline110,-1
gas pipeline AT126 -> AT124,AT126,AT124,6000,0,0,1979,0,0,AGGM_pipeline111,0
gas pipeline AT126 -> AT124 (2),AT126,AT124,6000,0,0,2012,0,0,AGGM_pipeline112,0
gas pipeline AT124 -> AT126,AT124,AT126,7774,0,0,1979,0,0,AGGM_pipeline113,0
gas pipeline AT124 -> AT126 (2),AT124,AT126,7774,0,0,2012,0,0,AGGM_pipeline114,0
gas pipeline AT126 <-> AT124,AT126,AT124,1150,0,0,1994,0,0,AGGM_pipeline115,-1
