ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
45,5700,Zell am See,S,,Biogas,100,0,62026,657769,646126,556124,215777
46,5020,Salzburg,S,,Biogas,33,46707,68664,79008,90115,96930,102122
86,5431,Kuchl,S,,Biogas,100,253005,689636,686366,515672,837730,615019
88,5162,Obertrum am See,S,,Biogas,100,228449,733853,726172,837372,805970,756583
114,5301,Eugendorf,S,,Biogas,100,215671,246308,558284,395765,0,0
137,5452,Pfarrwerfen,S,,Klärgas,70,21481,63275,18999,2119,0,0
145,,,S,,Klärgas,800,0,0,0,0,0,0
180,5541,Altenmarkt im Pongau,S,,Biogas,100,156771,493449,498049,532270,478383,348723
181,5301,Eugendorf,S,,Biogas,111.905,5452,74628,26183,30748,1171,448955
219,5204,Straßwalchen,S,,Biogas,65,134151,524486,479834,488082,474124,441236
224,5101,Bergheim,S,,Deponiegas,1632,0,0,0,0,0,0
234,5722,Niedernsill,S,,Biogas,86,1411,5686,1422,232,0,0
236,5431,Kuchl,S,,Klärgas,110,11548,56717,49426,3948,0,0
240,5400,Hallein,S,,Biogas,999,883415,1415430,513185,0,13441,1862566
249,5091,Unken,S,,Biogas,35,182,3854,3078,332,0,0
265,5400,Hallein,S,,Biogas,2995,1977800,18103094,8591837,15120169,3000171,12776417
319,5452,Pfarrwerfen,S,,Klärgas,70,0,0,0,0,0,0
336,5113,Sankt Georgen bei Salzburg,S,,Klärgas,83,0,1835,1895,597,0,0
343,5163,Mattsee,S,,Biogas,87.5,18219,121821,163579,20977,0,0
351,5400,Hallein,S,,Biogas,37700,0,0,0,0,0,0
360,5580,Tamsweg,S,,Klärgas,35,1091,13,0,125320,12,0
363,5082,Grödig,S,,Biogas,60,0,0,0,0,0,0
408,5452,Pfarrwerfen,S,,Biogas,15,0,0,0,0,0,0
436,5101,Bergheim,S,,Biogas,401,4230,24504,11858,39088,523218,1372755
449,5071,Wals-Siezenheim,S,,Biogas,41.3,0,0,0,0,0,0
453,5753,Saalbach,S,,Klärgas,89,5341,16796,25908,10978,0,0
456,5152,Michaelbeuern,S,,Biogas,131.59,6727,61986,29468,30052,34933,25968
472,5162,Obertrum am See,S,,Biogas,60.8,5188,33512,41494,0,24,849
487,5760,Saalfelden am Steinernen Meer,S,,Klärgas,198,45739,140786,114526,74508,89750,35981
534,5550,Radstadt,S,,Klärgas,144,0,0,0,0,0,0
7,8082,Kirchbach-Zerlach,ST,,Biogas,300,650967,1772840,1955602,0,557215,2255082
53,8130,Frohnleiten,ST,,Deponiegas,511,0,0,0,0,0,0
56,8342,Gnas,ST,,Biogas,0,0,0,0,0,0,0
74,8230,HARTBERG,ST,,Biogas,280,602293,1696392,1736228,1712340,1899733,1798077
75,8424,Gabersdorf,ST,,Biogas,500,0,2189673,569834,0,1085962,4377758
