ID,Plz,Ort,Bundesland,Energieträger,Technologie,Engpassleistung (kW <sub>el</sub>),Eingespeister Strom (kWh) 2026,Eingespeister Strom (kWh) 2025,Eingespeister Strom (kWh) 2024,Eingespeister Strom (kWh) 2023,Eingespeister Strom (kWh) 2022,Eingespeister Strom (kWh) 2021
372,2474,Gattendorf,B,,Biogas,12,0,0,0,0,0,0
398,7423,Pinkafeld,B,,Biogas,500,0,281267,4067741,3781595,4126148,4202370
402,7522,Strem,B,,Biogas,500,1278904,3454365,3050981,3526074,2681123,3310719
411,7544,Tobaj,B,,Biogas,500,790580,2302559,2769722,3699893,2780388,1924917
414,7025,Pöttelsdorf,B,,Biogas,30,0,0,0,0,0,0
439,2473,Deutsch-Haslau,B,,Biogas,500,0,0,0,0,0,0
447,7302,Kroatisch Minihof,B,,Biogas,19.76,825,5637,5810,67,0,0
476,7561,Heiligenkreuz im Lafnitztal,B,,Biogas,1000,1708790,6754286,6681320,7424280,7680242,8220329
480,7042,Antau,B,,Biogas,45,26,1638,4373,6604,9296,33287
524,7561,Heiligenkreuz im Lafnitztal,B,,Biogas,195,2942,1234,0,0,0,0
542,7441,Pilgersdorf,B,,Biogas,500,1466592,4423662,4451967,4599407,4625023,4358117
8,9811,Lendorf,K,,Biogas,22,1486,4336,5760,1029,13187,29486
12,9800,Baldramsdorf,K,,Deponiegas,40,9018,31580,45721,30909,24921,16540
29,9113,Ruden,K,,Biogas,18.5,5417,22295,15958,34851,20647,31853
31,9065,Ebenthal in Kärnten,K,,Biogas,250,0,0,0,0,0,0
49,9100,Völkermarkt,K,,Biogas,30,10210,59826,120776,179491,8855,22777
77,9500,Villach,K,,Klärgas,530,0,0,0,0,0,67620
87,9150,Bleiburg,K,,Biogas,317,435972,1278623,1278227,1218180,1411760,1290289
98,9546,Bad Kleinkirchheim,K,,Biogas,30,0,0,0,0,0,0
111,9102,Völkermarkt,K,,Biogas,100,289343,851672,846834,862094,866867,862028
159,9150,Bleiburg,K,,Biogas,150,484730,1582166,1648655,1769337,1499580,1253276
163,9100,Völkermarkt,K,,Biogas,30,0,0,0,0,0,0
170,9560,Feldkirchen in Kärnten,K,,Klärgas,196,16458,50961,30494,22612,33655,35458
189,9314,St. Georgen am Längsee,K,,Biogas,637,1735960,5180345,5126058,5233813,5383340,5245436
200,9122,St.Kanzian am Klopeiner See,K,,Biogas,37,0,0,0,0,0,0
220,9800,Spittal an der Drau,K,,Klärgas,536,53340,230920,143735,56795,35880,40650
223,9640,Kötschach-Mauthen,K,,Biogas,500,0,0,0,0,0,0
233,9170,Ferlach,K,,Biogas,200,0,0,7730,0,0,0
261,9150,Bleiburg,K,,Biogas,100,229651,641215,646077,636577,781460,816507
272,9150,Bleiburg,K,,Biogas,500,764856,2697693,2069608,2516925,3183462,2973213
286,9473,Lavamünd,K,,Biogas,98,0,0,0,0,0,0
298,9330,Mölbling,K,,Biogas,250,0,0,0,0,0,0
306,9853,Malta,K,,Biogas,30,0,0,0,0,3902,14464
323,9113,Ruden,K,,Biogas,500,1447518,4420838,4381594,4156835,4361007,4350630
349,9072,Ludmannsdorf,K,,Biogas,250,635445,1880401,247408,345419,9987,627116
350,9100,Völkermarkt,K,,Biogas,50,0,0,0,0,18103,221154
377,9020,Klagenfurt am Wörthersee,K,,Klärgas,650,12113,60988,32954,75254,199577,102139
378,9150,Bleiburg,K,,Biogas,500,1357826,4189616,4245791,4274019,4282001,4243383
385,9321,Kappel am Krappfeld,K,,Biogas,250,0,0,0,0,0,0
391,9063,Maria Saal,K,,Biogas,100,0,0,0,0,2138,463383
393,9640,Kötschach-Mauthen,K,,Biogas,330,0,0,0,0,0,0
407,9500,Villach,K,,Biogas,80,45776,230725,189277,260512,533300,136503
412,9546,Bad Kleinkirchheim,K,,Biogas,27,22,5,50,2,16,1
423,9100,Völkermarkt,K,,Biogas,22,0,0,0,0,0,0
429,9762,Weißensee,K,,Biogas,18,0,27,4666,18467,2031,4975
445,9555,Glanegg,K,,Biogas,30,430,1779,26872,70861,7560,12673
446,9611,Nötsch im Gailtal,K,,Biogas,250,664003,1914368,1858933,1709713,1976665,1697150
464,9313,St. Georgen am Längsee,K,,Biogas,30,0,0,0,0,0,0
483,9100,Völkermarkt,K,,Biogas,100,264435,794735,821311,863048,837423,666815
490,9781,Irschen,K,,Biogas,25,1220,13220,9523,19152,12750,13387
500,9020,Klagenfurt am Wörthersee,K,,Deponiegas,960,0,0,0,0,0,0
505,9342,Gurk,K,,Biogas,124,93498,546103,768509,667283,893315,954466
510,9500,Villach,K,,Klärgas,1001.04,5846,23258,68790,67561,75088,2798
514,9555,Glanegg,K,,Biogas,250,0,0,0,0,0,0
530,9300,St. Veit an der Glan,K,,Biogas,1048,0,0,0,0,0,0
4,2022,Wullersdorf,NO,,Biogas,250,0,0,0,0,0,0
10,3071,Böheimkirchen,NO,,Biogas,400,924999,2854196,2846008,871796,573941,1407066
11,4482,Ennsdorf,NO,,Biogas,1054,104143,491443,456147,49009,0,0
17,2295,Weiden an der March,NO,,Biogas,75,173862,179702,0,176805,296209,320631
20,3383,Hürm,NO,,Biogas,618,1711437,5176947,5115242,5199871,5111023,5206089
21,2821,Lanzenkirchen,NO,,Biogas,330,683420,1697497,1679924,21849,1188269,0
24,3844,Waldkirchen an der Thaya,NO,,Biogas,150,510582,1526773,1548139,1497548,1527949,1456736
25,3763,Japons,NO,,Biogas,625,1556014,4854824,5082818,5135108,5353105,4954803
26,2102,Flandorf,NO,,Biogas,125,363723,1084929,1090875,1083023,1075525,1082686
32,3383,Hürm,NO,,Biogas,200,492843,1560386,1509479,1563661,1542989,1543686
33,3232,Bischofstetten,NO,,Biogas,260,0,0,0,0,0,0
37,3571,Gars am Kamp,NO,,Biogas,500,1370210,4312657,4273904,4363453,4343604,4357406
41,3730,Eggenburg,NO,,Biogas,1000,144305,2434485,1799650,2275454,4284154,3631051
43,3071,Böheimkirchen,NO,,Biogas,628,1162923,3554839,3489118,1034957,0,0
44,3073,Stössing,NO,,Biogas,750,1088442,2832971,4191878,5219612,5147373,1310768
50,3300,Amstetten,NO,,Klärgas,69,0,0,0,0,0,0
52,2320,Mannswörth,NO,,Klärgas,311,0,0,0,89516,336808,0
59,2412,Wolfsthal,NO,,Biogas,500,0,0,0,0,0,0
61,3311,Zeillern,NO,,Biogas,158,408159,1209572,1218371,1174330,1197788,1171957
62,3241,Kirnberg an der Mank,NO,,Biogas,250,708367,2098663,2090467,2127975,2113145,1960649
63,3454,Sitzenberg-Reidling,NO,,Biogas,500,1388363,4189474,4024741,4008712,4009167,4148245
64,2003,Leitzersdorf,NO,,Biogas,100,233588,689595,799036,730503,900678,802854
72,2842,Thomasberg,NO,,Biogas,150,300593,950686,977219,950930,924909,946046
81,2493,Lichtenwörth,NO,,Biogas,499,16406,950440,1604555,3079659,3871542,3433252
82,2095,Drosendorf-Zissersdorf,NO,,Biogas,124,299063,903320,916203,915950,877797,792174
89,3252,Petzenkirchen,NO,,Biogas,99.5,11667,356352,421882,421197,581858,471710
92,3451,Michelhausen,NO,,Klärgas,75,1441,37627,44222,48791,44175,44839
94,3752,Sigmundsherberg,NO,,Biogas,625,1710442,5192472,5343670,5564501,5348596,5236488
95,2201,Hagenbrunn,NO,,Biogas,1320,1927868,5904834,5947631,5077467,6219375,5299759
96,2241,Schönkirchen-Reyersdorf,NO,,Biogas,330,0,0,0,0,0,0
99,3851,Kautzen,NO,,Biogas,150,512348,1556186,1551966,1489952,1525976,1499602
107,2381,Laab im Walde,NO,,Biogas,500,0,0,0,0,0,0
108,3631,Ottenschlag,NO,,Biogas,100,0,0,0,0,0,0
112,2851,Krumbach,NO,,Biogas,130,242273,865333,924931,889955,959621,930748
113,3623,Kottes-Purk,NO,,Biogas,18.5,528,4305,37557,43091,56798,57300
115,3300,Amstetten,NO,,Biogas,330,947832,2796624,2753401,0,943772,2814037
117,3664,Martinsberg,NO,,Biogas,100,261350,776492,711179,719860,755665,703154
122,3822,Karlstein an der Thaya,NO,,Biogas,829,1965506,5738502,6145048,6560413,6968395,5242000
129,2823,Pitten,NO,,Biogas,14000,1687995,2033005,0,0,0,0
135,2095,Drosendorf-Zissersdorf,NO,,Biogas,500,1417057,4254485,4202942,3925055,4420744,4369834
136,2813,Lichtenegg,NO,,Biogas,1050,1640920,4966813,4978964,5878586,5655284,4302226
146,2493,Lichtenwörth,NO,,Klärgas,249,0,0,0,0,0,0
154,3383,Hürm,NO,,Biogas,150,241337,1116210,1082030,1162836,264646,0
155,2482,Münchendorf,NO,,Biogas,198,0,0,88971,210315,569826,850542
165,3233,Kilb,NO,,Biogas,550,1557983,4612403,4572020,4505982,4757809,4577795
168,3912,Grafenschlag,NO,,Biogas,124,332001,932039,962260,927242,987437,850145
169,2042,Grabern,NO,,Biogas,130,346144,904776,937315,1028245,938043,974166
177,2471,Hollern,NO,,Biogas,500,0,0,0,0,0,0
183,3353,Seitenstetten,NO,,Biogas,150,379724,1190210,1306125,1343155,1371712,1368735
184,3281,Oberndorf an der Melk,NO,,Biogas,250,404308,1253653,1302571,1138914,1212125,1083177
187,3920,Arbesbach,NO,,Biogas,100,273511,826662,757887,604690,785993,698695
190,2020,Hollabrunn,NO,,Biogas,384,0,0,0,0,0,0
191,2821,Lanzenkirchen,NO,,Biogas,170,451997,1298756,93188,839773,202533,1352917
192,4441,Behamberg,NO,,Biogas,300,765853,726641,0,549325,1201461,2195269
196,2840,Grimmenstein,NO,,Biogas,65,53377,149329,160037,173963,154033,163145
208,2813,Lichtenegg,NO,,Biogas,330,686825,2000186,1610066,1499626,1795431,1607156
209,3380,Pöchlarn,NO,,Biogas,500,1373896,4110427,4137949,3999701,3515272,4221542
213,2070,Retz,NO,,Biogas,500,1422767,4179228,4315060,4172497,4407329,4240714
221,3386,Hafnerbach,NO,,Klärgas,80,1784,26260,20140,23282,21221,6732
226,3860,Heidenreichstein,NO,,Biogas,167,337953,982608,1085294,970671,957821,872298
231,3711,Großmeiseldorf,NO,,Biogas,500,1399358,2496599,4336902,3722562,4433603,4233008
235,3820,Raabs an der Thaya,NO,,Biogas,500,1097686,3187837,3168783,3178314,3688363,2240827
237,3313,Wallsee-Sindelburg,NO,,Biogas,500,1750781,5405078,4096934,5223280,5343597,5109257
238,4441,Behamberg,NO,,Biogas,290,829696,2504249,2345374,2143719,2054119,2026200
241,3521,Weinzierl am Walde,NO,,Biogas,100,0,0,242066,711980,840388,815104
246,2000,Stockerau,NO,,Biogas,625,1739891,5332379,5179646,5328320,5316821,4658733
247,3300,Amstetten,NO,,Klärgas,480,139309,454283,365883,188859,563578,492992
250,2011,Sierndorf,NO,,Biogas,500,1386995,4288414,4225229,4041584,4287737,4161536
256,2230,Gänserndorf,NO,,Biogas,500,0,0,0,0,0,0
277,2842,Edlitz,NO,,Biogas,75,212626,965114,1034799,1105374,979228,991463
278,2412,Wolfsthal,NO,,Biogas,500,0,0,0,0,0,0
281,3100,St. Pölten,NO,,Deponiegas,390,0,0,0,0,0,0
287,3430,Tulln an der Donau,NO,,Biogas,124,4,97,7,2,0,0
290,3340,Waidhofen an der Ybbs,NO,,Biogas,45,0,16573,5471,5436,12919,2716
291,3714,Sitzendorf an der Schmida,NO,,Biogas,130,352875,1035847,1077131,665551,763778,815060
292,2020,Hollabrunn,NO,,Biogas,836,1472,7169,5697,3468,9597,8356
302,3240,Mank,NO,,Biogas,500,0,0,0,0,0,0
304,3711,Großmeiseldorf,NO,,Biogas,500,1381359,4369956,4189267,4307390,4491237,4151682
307,4300,St. Valentin,NO,,Klärgas,30,304,1071,707,181,0,0
312,2401,Fischamend,NO,,Deponiegas,218,0,0,0,0,0,0
321,2042,Grabern,NO,,Biogas,439,1874792,5116471,5151832,5054017,4493302,4184997
326,2000,Stockerau,NO,,Biogas,500,1746101,5202422,4776155,4920550,4370072,3802746
333,3800,Göpfritz an der Wild,NO,,Biogas,500,1376974,4270352,4356678,4484668,4955126,4415246
342,3434,Tulbing,NO,,Biogas,400,705105,2157045,2473059,3356938,3211461,2921515
348,2433,Margarethen am Moos,NO,,Biogas,890,2200268,5897235,4415322,2921557,1843431,3347615
362,2070,Retz,NO,,Biogas,500,1398525,4286337,4353344,4201076,4322107,4130915
366,2064,Laa an der Thaya,NO,,Biogas,150,424575,1295397,1265752,1225910,1207405,934599
367,2282,Markgrafneusiedl,NO,,Biogas,616,1378094,4106088,3402637,969409,0,0
368,3311,Zeillern,NO,,Biogas,355,674684,1909794,1883286,1794744,2112011,1717043
369,3500,Krems an der Donau,NO,,Biogas,380,107637,172411,75801,36977,0,0
373,3683,Yspertal,NO,,Biogas,15,0,905,3912,12446,16110,17645
388,3133,Traismauer,NO,,Klärgas,689,162719,655744,525507,530756,206680,219372
389,3711,Großmeiseldorf,NO,,Biogas,500,1389506,4360912,4237877,3989336,4456800,4122937
392,2304,Orth an der Donau,NO,,Biogas,1000,2783540,8548833,8469127,8420564,8593922,8462157
395,4441,Behamberg,NO,,Biogas,35,81717,286343,287930,279680,249137,9592
399,3100,St. Pölten,NO,,Biogas,100,212039,622168,614747,567322,711406,558771
400,3241,Kirnberg an der Mank,NO,,Biogas,250,682281,2007824,2035345,2068797,2104268,2039745
404,3123,Obritzberg,NO,,Biogas,85,0,0,0,0,0,0
409,2460,Bruck an der Leitha,NO,,Biogas,1672,289522,667976,177319,1798729,302356,707
417,3830,Waidhofen an der Thaya,NO,,Biogas,500,974460,4327853,4043956,4214131,3948813,3660555
421,3910,Zwettl,NO,,Klärgas,48,706,63885,107253,26223,10398,6577
431,3361,Aschbach-Markt,NO,,Klärgas,28,1345,40,0,0,0,0
432,3903,Echsenbach,NO,,Biogas,500,1397784,4137748,4264759,4189897,4478987,4176905
433,2813,Lichtenegg,NO,,Biogas,250,727712,2211946,2190551,2195637,2205350,2149587
437,2471,Parndorf,NO,,Biogas,500,0,2511753,2942773,763010,3550447,2771342
438,2000,Stockerau,NO,,Klärgas,250,205,197,432,0,0,0
451,3300,Amstetten,NO,,Biogas,150,254840,505732,731085,0,188723,768159
455,3900,Schwarzenau,NO,,Biogas,210,570554,1755567,1732304,1838445,1713694,1721117
463,2070,Retz,NO,,Biogas,500,1424066,4248695,4065297,4215614,4429297,3909784
466,3454,Sitzenberg-Reidling,NO,,Biogas,500,1428898,3974231,4206310,4108031,4260143,3738326
467,2011,Sierndorf,NO,,Biogas,30,3324,7364,7270,2838,0,0
468,4431,Haidershofen,NO,,Biogas,250,708551,2158549,2103887,2065912,2132770,1980321
477,3300,Amstetten,NO,,Biogas,390,227449,427247,96848,0,0,0
482,2381,Laab im Walde,NO,,Biogas,22,0,0,0,0,0,0
484,2282,Markgrafneusiedl,NO,,Biogas,350,0,0,0,1690023,3546132,2121808
489,3500,Krems an der Donau,NO,,Biogas,40,11960,19157,8422,3575,0,0
495,2640,Gloggnitz,NO,,Klärgas,70,3,69,1,8,11,242
498,3454,Zwentendorf an der Donau,NO,,Biogas,500,0,0,0,0,0,0
499,3542,Gföhl,NO,,Biogas,250,699252,2168831,2165413,2126221,2111201,2135442
503,2433,Enzersdorf an der Fischa,NO,,Biogas,625,122747,144904,1345608,5335786,5016950,5109030
512,2842,Edlitz,NO,,Biogas,75,0,0,0,0,0,0
513,2751,Wiener Neustadt,NO,,Biogas,200,6502,93495,65137,5835,60598,52592
515,3071,Böheimkirchen,NO,,Biogas,500,1451010,4379226,4381145,4319217,4405666,4378134
517,2460,Bruck an der Leitha,NO,,Klärgas,400,144637,437430,421075,79049,0,0
520,3250,Wieselburg,NO,,Klärgas,85,0,18,46,10,122,131
521,3244,Ruprechtshofen,NO,,Biogas,100,14884,103535,104069,87710,0,201640
525,3762,Ludweis-Aigen,NO,,Biogas,125,435944,1289956,1286340,1259373,1197784,1239004
527,2700,Lichtenwörth,NO,,Klärgas,746,17236,77398,97366,21811,0,0
529,3543,Jaidhof,NO,,Biogas,150,471438,1396543,1407782,1476549,1394261,1299715
541,3820,Raabs an der Thaya,NO,,Biogas,100,0,0,0,0,0,0
0,4175,Herzogsdorf,OO,,Biogas,360,1015221,3059876,3079689,3056746,3072806,3069682
1,4901,Ottnang am Hausruck,OO,,Biogas,162,0,0,0,0,0,0
3,4193,Reichenthal,OO,,Biogas,30,0,0,0,0,0,0
5,5310,Tiefgraben,OO,,Biogas,9,66,717,8298,16522,13049,13708
13,4572,St. Pankraz,OO,,Biogas,173,0,0,0,0,0,0
19,4113,St.Martin im Mühlkreis,OO,,Biogas,100,243363,779078,784305,837250,846396,800322
23,5231,Schalchen,OO,,Biogas,200,509185,1575985,1526943,1399323,1443428,1515174
27,4871,Gampern,OO,,Biogas,212,13226,48665,40199,6181,0,0
30,4221,Steyregg,OO,,Biogas,155,271608,1121139,1115106,1105761,1109984,1133492
34,4323,Münzbach,OO,,Biogas,250,684432,1829794,661474,0,690408,2046164
36,4904,Atzbach,OO,,Biogas,250,713995,2168523,2173998,2204428,2275956,2192125
48,4780,Schärding,OO,,Deponiegas,119,0,1178,1207,110,0,0
57,4904,Atzbach,OO,,Biogas,500,1251911,3606965,3440196,3915101,3945507,4029318
65,4407,Steyr,OO,,Biogas,514,66390,299180,324206,67366,0,0
66,4280,Königswiesen,OO,,Biogas,200,408371,563704,0,0,0,0
67,4501,Neuhofen an der Krems,OO,,Biogas,52.2,546,3629,3093,19,0,0
68,4481,Asten,OO,,Deponiegas,4363,0,0,0,0,0,0
69,4055,Pucking,OO,,Biogas,18,13,455,3210,554,26337,31812
70,4903,Manning,OO,,Biogas,12,10559,63604,64025,72286,51883,52795
73,4713,Kematen am Innbach,OO,,Biogas,250,654820,1767098,1978606,2012361,2044702,2035119
90,4661,Roitham am Traunfall,OO,,Biogas,138.84,231402,632274,709905,714546,870838,867685
100,4872,Neukirchen an der Vöckla,OO,,Biogas,250,892356,2308949,2194901,2519997,2591830,2175641
101,4963,Sankt Peter am Hart,OO,,Biogas,28,38144,223026,213602,177685,201611,197886
103,4655,Vorchdorf,OO,,Biogas,131,218616,798120,883538,786924,514861,540431
105,5120,Sankt Pantaleon,OO,,Biogas,200,254904,800448,844023,847882,783690,813755
106,4720,Kallham,OO,,Biogas,250,708171,2108667,2150749,2169881,2126748,2054375
110,4133,Niederkappel,OO,,Biogas,250,691200,2046709,2025147,2073467,2152366,1808467
118,4820,Bad Ischl,OO,,Deponiegas,0.75,26,108,183,21,0,0
127,4203,Altenberg bei Linz,OO,,Biogas,37.5,0,0,0,0,0,0
132,4175,Herzogsdorf,OO,,Biogas,540,902740,2251831,2399216,652198,0,0
133,4846,Redlham,OO,,Deponiegas,211.15,2156,12357,18252,0,0,0
139,4132,Lembach im Mühlkreis,OO,,Biogas,100,0,0,31436,147707,192500,288512
140,4293,Gutau,OO,,Biogas,250,366200,1880879,1918744,1808213,1905297,1873434
149,5122,Hochburg-Ach,OO,,Biogas,100,188853,421765,465542,450589,569563,531184
151,4974,Ort im Innkreis,OO,,Deponiegas,50.4,5394,21328,0,1350,0,0
161,4810,Gmunden,OO,,Biogas,5.5,0,0,0,0,0,0
164,4673,Gaspoltshofen,OO,,Biogas,520,1395185,4112713,4213634,4187924,4283952,4206132
172,4020,Linz,OO,,Deponiegas,12.5,764,4483,3800,746,0,0
173,4894,Oberhofen am Irrsee,OO,,Biogas,35,1391,3591,5753,1439,0,0
174,4724,Eschenau im Hausruckkreis,OO,,Biogas,99,213269,680579,737408,667175,765012,707600
176,4820,Bad Ischl,OO,,Klärgas,124,14235,129425,63917,105664,47181,84917
179,4240,Freistadt,OO,,Biogas,250,467856,1930185,1927797,1946103,1935993,1878803
194,4924,Waldzell,OO,,Biogas,45,0,0,0,0,0,0
197,4371,Sankt Georgen am Walde,OO,,Biogas,11,476,5853,44,0,0,0
198,4070,Pupping,OO,,Biogas,80,1920,14135,5118,3751,0,0
202,4611,Buchkirchen,OO,,Biogas,250,710069,2137972,2130592,2153200,2166571,2139432
203,4643,Pettenbach,OO,,Biogas,360,770871,2028765,2528508,0,763902,2135148
