,bus0,bus1,p_nom,p_nom_diameter,max_pressure_bar,build_year,diameter_mm,length,name,p_min_pu
gas pipeline AT11 <-> HU,AT11,HU,6378,1500,70,0,500,275.5647717,PLS_4606_Seg_0_Seg_0_Seg_0,0
gas pipeline AT12 <-> AT13,AT12,AT13,19616,14733.33333,70,2007,1000,58.59601239,PLS_4841_Seg_0_Seg_0,-1
gas pipeline AT12 <-> AT22,AT12,AT22,50862,11250,70,1965,900,155.3873006,PLL_634_Seg_0_Seg_0,-1
gas pipeline AT12 <-> AT31,AT12,AT31,49980,21700,90,2013,1200,166.602845,PLS_6175_Seg_0_Seg_0,-1
gas pipeline AT21 <-> IT0,AT21,IT0,50015,16475,70,1970,1050,647.0016601,INET_PL_656_EE_1_Seg_0_Seg_0_Seg_0,-1
gas pipeline AT22 <-> SI,AT22,SI,4689,1500,70,0,500,161.7592705,PLL_81_Seg_0_Seg_0_Seg_2,0
gas pipeline AT31 <-> AT22,AT31,AT22,1017,1500,70,0,500,155.4213347,PLS_5122_Seg_0_Seg_0,0
gas pipeline AT31 <-> AT32,AT31,AT32,7464,7500,70,0,500,132.6104247,EntsoG_Map__ST_101 EntsoG_Map__ST_102 EntsoG_Map__ST_103 EntsoG_Map__ST_130 EntsoG_Map__ST_131,-1
gas pipeline AT31 <-> DE2,AT31,DE2,22700,9166.666667,67.5,1980,800,258.7546208,ST_2612_Seg_0_Seg_0,-1
gas pipeline AT34 <-> DE2,AT34,DE2,1082,1500,70,0,500,275.4101995,PLS_6000_Seg_0_Seg_0_Seg_0,-1
gas pipeline CH <-> AT34,CH,AT34,1000,1500,70,0,500,169.3878817,PLS_5735_Seg_0_Seg_0_Seg_0,0
gas pipeline DE2 <-> AT33,DE2,AT33,3922,5900,46.5,0,450,234.8417615,LKD_PS_90_Seg_0_Seg_0 LKD_PS_92_Seg_0_Seg_0_Seg_1,0
gas pipeline SK <-> AT12,SK,AT12,96080,11250,64.57171027,0,900,348.2906012,PLL_537_Seg_0_Seg_0_Seg_0,-1
gas pipeline AT31 <-> SK,AT31,SK,1119,0,0,0,0,0,Pipeline_01,0
gas pipeline AT31 <-> AT12,AT31,AT12,6400,0,0,0,0,0,Pipeline_02,0
gas pipeline AT32 <-> DE2,AT32,DE2,1500,0,0,0,0,0,Pipeline_03,0
gas pipeline AT21 <-> AT22,AT21,AT22,51980,0,0,0,0,0,Pipeline_04,0
